지역,진출국가,관할무역관,기업명(국문),기업명(영문),주소,위도,경도,우편번호,진출형태,투자형태,모기업명,업종 대분류,업종 중분류
동남아대양주,인도네시아,자카르타,(주)찝따시네르지아시아,CIPTA SINERGI ASIA,"JL. HAJI TEN NO. 65 RT. 005 RW. 001, KEL. RAWAMANGUN, KEC. PULOGADUNG, JAKARTA TIMUR 13220, INDONESIA",-6.18954736176648,106.879312953193,13220,"생산법인, 판매법인",.,,C. 제조업,기타 제품 제조업
동남아대양주,인도네시아,자카르타,(주)찝따오리온메탈,CIPTA ORION METAL,"JL. PENJERNIHAN 4 NO. 22 BENHIL, JAKARTA 10210, INDONESIA",-6.16690987047905,107.056284730454,10210,생산법인,.,,C. 제조업,기타 제품 제조업
동남아대양주,인도네시아,자카르타,(주)타키온,TACHYON INDO,"JL.DARMAWANGSA NO.2 KOMPLEKS WIJAYA GRAND CENTER BLOK F41 LANTAI 1 KEBAYORAN BARU - JKT SELATAN 12160, INDONESIA",-6.25405131211758,106.799704171031,12160,서비스법인,.,,"S. 협회 및 단체, 수리 및 기타 개인 서비스업",
동남아대양주,인도네시아,자카르타,(주)토우고무인도네시아,PT TOU RUBBER INDONESIA,"KAWASAN INDUSTRY DELTA SILICON 5, JL.KENARI 1 BLOK G 1 NO.25, LIPPO CIKARANG, KAB.BEKASI 17530, INDONESIA",-6.35723089840327,107.160414569124,17530,생산법인,M&A,,C. 제조업,고무 및 플라스틱제품 제조업
동남아대양주,인도네시아,자카르타,(주)푸드코리아 인도네시아,FOOD KOREA INDONESIA,"JL. LEMPONGSARI RAYA, SUMBERAN, SARIHARJO, NGAGLIK, KAB. SLEMAN, D.I. YOGYAKARTA 55581, INDONESIA",-7.7427747474466,110.377797107589,55581,서비스법인,.,,"S. 협회 및 단체, 수리 및 기타 개인 서비스업",
동남아대양주,인도네시아,자카르타,(주)피엘에스,PT. PERTAMA LOGISTIC SERVICE,"JL. TROCADERO NO.107 PALAISE DE EUROPE LIPPO KARAWACI, PANUNGGANGAN BARAT TANGERANG, INDONESIA",-6.2221836014951,106.617515514567,15139,해외지사,단독투자,PLS,H. 운수 및 창고업,
동남아대양주,인도네시아,자카르타,(주)헤온즈코포레이션,HEONZ CORPORATION,"SOUTH QUARTER TOWER A, 3RD FL. UNIT EFGH, JL. R. A. KARTINI KAV. 8, JAKARTA SELATAN 12430, INDONESIA",-6.29416687279887,106.784516969112,12430,서비스법인,.,,"M. 전문, 과학 및 기술 서비스업",
동남아대양주,인도네시아,자카르타,DM 인도네시아,PT. DM INDONESIA,"KAWASAN INDUSTRI JABABEKA TAHAP I, JL. JABABEKA IVE BLOK V NO.78N PASIR GOMBONG, CIKARANG UTARA, INDONESIA",-6.27047762398927,107.145378883893,.,기타,단독투자,,C. 제조업,금속 가공제품 제조업 (기계 및 가구 제외)
동남아대양주,인도네시아,자카르타,F1-로직스,F1-LOGIX,"WISMA KORINDO, 9TH FL. JL. MT. HARYONO KAV. 62, PANCORAN, JAKARTA SELATAN 12780, INDONESIA",-6.24427427671686,106.844440728672,12780,서비스법인,.,,H. 운수 및 창고업,
동남아대양주,인도네시아,자카르타,GS건설,GS ENGINEERING & CONSTRUCTION,"WORLD TRADE CENTER(WTC) 2, LANTAI 10, JL. JEND. SUDIRMAN KAV. 29-31 JAKARTA 12920, INDONESIA",-6.21492722688839,106.821115010036,12920,해외지사,.,GS건설,F. 건설업,
동남아대양주,인도네시아,자카르타,KB손해보험인도네시아,KB INSURANCE INDONESIA,"SINARMAS LAND PLAZA TOWER 2 LT. 25 SUITE 2501, JL. MH THAMRIN 51 JAKARTA PUSAT, INDONESIA",-6.21127159836123,106.818893866438,10350,서비스법인,.,KB손해보험,K. 금융 및 보험업,
동남아대양주,인도네시아,자카르타,KEB하나은행,BANK KEB HANA INDONESIA,"(KPO) MANGKULUHUR CITY TOWER ONE, GROUND FLOOR, JLN. JEND. GATOT SUBROTO KAV. 1-3, JAKARTA 12930, INDONESIA",-6.22055125382842,106.813970362493,12930,서비스법인,.,KEB하나은행,K. 금융 및 보험업,
동남아대양주,인도네시아,자카르타,LG상사,LG INTERNATIONAL CORP.,"TCC BATAVIA BULDING TOWER ONE, 18TH FLOOR JL. KH. MANSYUR KAV.126 CENTRAL JAKARTA 10220, INDONESIA",-6.21073601812687,106.815439488913,10220,생산법인,단독투자,LG상사,B. 광업,
동남아대양주,인도네시아,자카르타,LG이노텍 인도네시아,LG INNOTEK CORP.,"BEKASI INTERNATIONAL INDUSTRI ESTATE BLOCK C8 NO12-12A LEMAHABANG, BEKASI TIMUR 17550, JAWA BARAT, INDONESIA",-6.22531633087792,107.043640570537,17550,생산법인,.,LG이노텍,C. 제조업,"전자 부품, 컴퓨터, 영상, 음향 및 기통신장비 제조업"
동남아대양주,인도네시아,자카르타,LG전자(주),LG ELECTRONICS INDONESIA,"GANDARIA 8 OFFICE TOWER, 29TH & 31ST FL. JL. SULTAN ISKANDAR MUDA, KEBAYORAN LAMA, JAKARTA SELATAN 12240, INDONESIA",-6.24272600020127,106.783371961153,12240,생산법인,.,LG전자,C. 제조업,"전자 부품, 컴퓨터, 영상, 음향 및 기통신장비 제조업"
동남아대양주,인도네시아,자카르타,LG화학,LG CHEM,"THE CITY CENTER (TCC) BATAVIA, TOWER ONE, 18FI. 02 B, JI. KH. MAS MANSYUR KAV. 126. JAKARTA PUSAT 10220, INDONESIA",-6.21111627012465,106.815812240883,10220,연락사무소,.,LG화학,C. 제조업,"코크스, 연탄 및 석유정제품 제조업"
동남아대양주,인도네시아,자카르타,LS에이지에스,LSAGS,"REVENUE TOWER FLOOR 15, DISTRICT 8, LOT 13 SCBD JL, JEND. SUDIRMAN KAV 52-53 JAKARTA SELATAN 12190, INDONESIA",-6.22731395508588,106.807227761152,12190,생산법인,.,LS전선,C. 제조업,전기장비 제조업
동남아대양주,인도네시아,자카르타,LS일렉트릭(자카르타),LS ELECTRIC JAKARTA OFFICE,"APL TOWER LANTAI 10 UNIT 3, JL. LETJEN S. PARMAN KAV 28 JAKARTA BARAT 11470, INDONESIA",-6.29542675592746,106.815524683898,11470,생산법인,.,LS전선,C. 제조업,전기장비 제조업
동남아대양주,인도네시아,자카르타,PT. 씨에스에스,PT . CSS,"JL. RAYA SERANG, SUMUR BANDUNG, JAYANTI, TANGERANG, BANTEN 15610, INDONESIA",-6.21453729359009,106.398010481347,15610,판매법인,M&A,,"D. 전기, 가스, 증기 및 공기 조절 공급업",
동남아대양주,인도네시아,자카르타,SK네트웍스인도네시아,SK NETWORKS INDONESIA,"TREASURY TOWER 25TH FLOOR SUITE 25A, DISTRICT 8 SUDIMAN CENTRAL BUSINESS DISTRICT LOT 28 JL. JENDRAL SUDIMAN KAV. 52-53, JAKARTA 12190, INDONESIA",-6.22820694863217,106.806752068543,12190,서비스법인,.,SK네트웍스,H. 운수 및 창고업,
동남아대양주,인도네시아,자카르타,SK이엔에스,PRISM NUSANTARA INTERNATIONAL,"GANDARIA 8 OFFICE TOWER, 12FL. UNIT I, JL. SULTAN ISKANDAR MUDA, KEBAYORAN LAMA, JAKARTA SELATAN 12240, INDONESIA",-6.24370719910625,106.783114469101,12240,서비스법인,.,SK E&S,"D. 전기, 가스, 증기 및 공기 조절 공급업",
동남아대양주,인도네시아,자카르타,SM삼환기업,SAMWHAN CORP.,"JL. GATOT SUBROTO NO.405, RT.1,RW.3, KUNINGAN TIMUR, KEC. SETIABUDI, JAKARTA SELATAN, DKI JAKARTA 12950, INDONESIA",-6.24173526922795,106.83670560053,12950,해외지사,.,SM삼환기업,F. 건설업,
동남아대양주,인도네시아,자카르타,ST인터내셔널,ST INTERNATIONAL INDONESIA,"MULIA TOWER, SUITE 1609, 16TH FLOOR, JL. JEND GATOT SUBROTO KAV, 9-11 JAKARTA 12930, INDONESIA",-6.19121136605352,106.768163876484,12930,생산법인,.,삼탄,B. 광업,
동남아대양주,인도네시아,자카르타,가나다막무르자야,GANADA MAKMUR JAYA,"JL. MAYOR OKING JAYA ATMAJAYA NO. 88A RT.003,RW.001 CIRIMEKAR CIBINONG, BOGOR, JAWA BARAT, INDONESIA",-6.48014219072391,106.868768253252,16918,생산법인,.,,C. 제조업,섬유제품 제조업 (의복 제외)
동남아대양주,인도네시아,자카르타,가루다 인다자야,GARUDA INDAH JAYA (GARUDA INKO),"JL. PEMDA TIGARAKSA KAWASAN MILLENIUM 11A BLOK F4. NO 10 PEUSAR PANONGAN TANGERANG, INDONESIA",-6.31439986406593,106.769570438432,15710,생산법인,.,,C. 제조업,"가죽, 가방 및 신발 제조업"
동남아대양주,인도네시아,자카르타,가야 인다 카리스마,GAYA INDAH KHARISMA,"KAWASAN INDUSTRI JL. RAYA MOCH. TOHA KM. 4, PENGASINAN, KEL. PERIUK, KEC. PERIUK TANGERANG, BANTEN 15131, INDONESIA",-6.16399666697592,106.600155784428,15131,생산법인,.,,C. 제조업,섬유제품 제조업 (의복 제외)
동남아대양주,인도네시아,자카르타,가야인도네시아,GAYA INDONESIA,"JL. WARINGIN KURUNG KP. CIKODAG DESA. HARJATANI KEC. KRAMATWATU, KAB. SERANG, BANTEN, INDONESIA",-6.06680120730822,106.064274003316,42161,생산법인,.,,C. 제조업,가구 제조업
동남아대양주,인도네시아,자카르타,가자 뿌티 엘라스틱,GAJAH PUTIH ELASTIC,"JL. MANIS II NO. 11 KM. 8, 5 DESA MANIS JAYA JATIUWUNG TANGERANG 15136, INDONESIA",-6.21450855329496,106.574059491275,15136,생산법인,.,,C. 제조업,고무 및 플라스틱제품 제조업
동남아대양주,인도네시아,자카르타,가자투어,GAJAH TOUR DUNIA,GEDUNG TIFA JAKARTA SELATAN,-6.2354348003158,106.820659461151,12710,.,.,,.,
동남아대양주,인도네시아,자카르타,가치 자야,GACHI JAYA,"JL LETJEND. SARWO EDHIE WIBOWO, NO. 105, PLAMONGANSARI, SEMARANG, JAWA TENGAH, 50139, INDONESIA",-7.1883583078895,", 110.44452849810008",50139,생산법인,.,,C. 제조업,"펄프, 종이 및 종이제품 제조업"
동남아대양주,인도네시아,자카르타,건설공제조합,CONSTRUCTION GUARANTEE COOPERATIVE KOREA,"SEQUIS CENTER 10TH FLOOR JL. JENDRAL SUDIRMAN NO.71, JAKARTA, 12190, INDONESIA",-6.22488258687353,106.806613584487,12190,서비스법인,.,Construction Guarantee,K. 금융 및 보험업,
동남아대양주,인도네시아,자카르타,건영전기,KUNYOUNG INDONESIA JAYA,"RUKO SENTRA CIKARANG, JL. RAYA CIKARANG, BLOCK C-11 KAV. 125, SERTAJAYA, CIKARANG TIM., BEKASI, JAWA BARAT 17530, INDONESIA",-6.3688392972531,106.776920415152,17530,서비스법인,.,,"M. 전문, 과학 및 기술 서비스업",
동남아대양주,인도네시아,자카르타,걸리버여행사,GULLIVER TOUR & TRAVEL,"JL. NUSA INDAH RAYA BLOK W NO.12 JAKA SETIA BEKASI, INDONESIA",-6.25638477370661,106.972938127907,17147,서비스법인,.,,"N. 사업시설 관리, 사업 지원 및 임대 서비스업",
동남아대양주,인도네시아,자카르타,게상 인도,GHE SANG INDO,"JL. RAYA SERANG KM. 11 NO. 1 KP BULAKAN DS. BITUNG JAYA KEC. CIKUPA TANGERANG, INDONESIA",-6.23205127691334,106.538840284441,15710,생산법인,.,,C. 제조업,섬유제품 제조업 (의복 제외)
동남아대양주,인도네시아,자카르타,겜마 월드 인도네시아,GEMMA WORLD INDONESIA,"RUKO BA 3 NO.29 RUKO 1B JL. BOULEVARD RAYA GADING SERPONG, TANGERANG 15810, INDONESIA",-6.24357453439052,106.613349242958,15810,판매법인,.,,G. 도매 및 소매업,
동남아대양주,인도네시아,자카르타,경상남도(자카르타),GYEONGSANGNAMDO JAKARTA,"WISMA GKBI, SUITE 801A, JL. JEND. SUDIRMAN KAV. 28 JAKARTA 10210, INDONESIA",-6.21772511149639,106.813661634796,10210,기타,.,경남도청,U. 국제 및 외국기관,
동남아대양주,인도네시아,자카르타,경상북도(자카르타),GYEONGSANGBUKDO JAKARTA,"GD ARTHA GRAHA, 6TH FL. SUITE 8, JL. JEND. SUDIRMAN KAV. 52-53 JAKARTA SELATAN 12950, INDONESIA",-6.22485743651352,106.811480010992,12950,기타,.,,U. 국제 및 외국기관,
동남아대양주,인도네시아,자카르타,경원센투리코라이르,KYUNGWON CENTURY KORAIR,"JL .RAYA SERANG KM 12 DESA BUNDER, CIKUPA, TANGERANG 15710, INDONESIA",-6.35848308214721,107.141197032966,15710,생산법인,.,경원콤프레샤,C. 제조업,기타 기계 및 장비 제조업
동남아대양주,인도네시아,자카르타,경형 인도네시아,KYUNG HEUNG INDONESIA,"JL. RAYA SERANG KM 17, 8 DESA BOJONG, CIKUPA, TANGERANG 15710, INDONESIA",-6.22026533945979,106.499393314567,15710,생산법인,.,,C. 제조업,기타 제품 제조업
동남아대양주,인도네시아,자카르타,경화인도네시아,KYOUNG HWA INDONESIA,"JL. INDUSTRI RAYA III AB NO.1 KOMPLEK FACTO(BLOK E NO.3) DESA BUNDER, CIKUPA, TANGERANG, INDONESIA",-6.1967637425814,106.553165061144,15710,생산법인,.,경화,C. 제조업,인쇄 및 기록매체 복제업
동남아대양주,인도네시아,자카르타,고려 띠무르 인두스트리,KORYO TIMUR INDUSTRY,"KAWASAN INDUSTRI PURATI KENCANA ALAM (BONEN) JL. RAYA SERANG KM. 19 NO. 7B, DS. SUKANAGARA, CIKUPA TANGERANG 15710, INDONESIA",-6.20746745568789,106.493880767983,15710,생산법인,.,,C. 제조업,기타 제품 제조업
동남아대양주,인도네시아,자카르타,고려 뿌스피타 인도네시아,KORYO PUSPITA INDONESIA,"JL. RAYA KARANGJATI KM 26, UNGARAN, SEMARANG 50552, INDONESIA",-7.1778025387331,110.419781780741,50552,생산법인,.,,C. 제조업,"가죽, 가방 및 신발 제조업"
동남아대양주,인도네시아,자카르타,고리 글로발 인도네시아,GORI GLOBAL INDONESIA,"JL. RAYA GUNUNG SINDUR NO. 7 CURUG, GUNUNG SINDUR, BOGOR, JAWA BARAT 16340, INDONESIA",-6.40928498608058,106.726771299263,16340,생산법인,.,,C. 제조업,섬유제품 제조업 (의복 제외)
동남아대양주,인도네시아,자카르타,골던 코레아 카리스마,GOLDEN KOREA KHARISMA,"JL. RAYA PARUNG PANJANG KP.BOJONG RT.02 RW.02 KEMUNING KEC.LEGOK TANGERANG - BANTEN, INDONESIA",-6.32004695536075,106.580964742007,15820,생산법인,M&A,,C. 제조업,기타 기계 및 장비 제조업
동남아대양주,인도네시아,자카르타,골프존 찔레곤,GOLFZON CILEGON,"KOMPLEK GREEN MEGA BLOK A2 NO. 06-07 CILEGON, BANTEN 42426, INDONESIA",-6.02948208710187,106.056981489538,42426,서비스법인,.,,"N. 사업시설 관리, 사업 지원 및 임대 서비스업",
