지역,진출국가,관할무역관,기업명(국문),기업명(영문),주소,위도,경도,우편번호,진출형태,투자형태,모기업명,업종 대분류,업종 중분류,,,,,,,,,,,,
동남아대양주,베트남,호치민,세네스트 비엣,"SENEST-VIET CO., LTD.","7TH FL., YOCO BLD., 41 NGUYEN THI MINH KHAI ST., BEN NGHE WARD, DIST. 1, HCMC, VIETNAM",10.7813170336881,106.696712268618,7000000,서비스법인,단독투자,에쓰이네스트,F. 건설업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,그랜드레전드 비나,GRAND LEGEND VINA,"9A TAN THOI NHAT 25 ST., QUARTER 5, TAN THOI NHAT WARD, DIST. 12, HCMC",10.8339866790994,106.612041882112,700000,생산법인,.,,C. 제조업,"의복, 의복 액세서리 및 모피제품 제조업",,,,,,,,,,,,
동남아대양주,베트남,호치민,대양비나 정공㈜,"DAEYANG VINA PRECISION CO., LTD.","ĐƯỜNG SỐ 5, KHU CÔNG NGHIỆP LONG THÀNH, XÃ TAM AN, HUYỆN LONG THÀNH, TỈNH ĐỒNG NAI, VIỆT NAM",10.8174486823026,106.92222200725,700000,생산법인,단독투자,태성정공,C. 제조업,금속 가공제품 제조업 (기계 및 가구 제외),,,,,,,,,,,,
동남아대양주,베트남,호치민,(주)히손비나,"HISON VINA CO., LTD.","BINH DUONG IP, DI AN CITY, BINH DUONG, VIETNAM",10.8722825694037,106.753104282113,700000,생산법인,단독투자,,C. 제조업,"가죽, 가방 및 신발 제조업",,,,,,,,,,,,
동남아대양주,베트남,호치민,케미렌즈,CHEMILENS LTD.,"76 ROAD A4, WARD 12, TAN BINH DIST., HCMC",10.7952804856388,106.649715224441,700000,서비스법인,.,,G. 도매 및 소매업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,신한은행 빈증뉴시티 지점,SHINHAN BANK VIETNAM - BINH DUONG NEW CITY BRANCH,"1ST & 2ND FL., KOCHAM BINH DUONG BLD., LOT A17B, ROAD NT8, HOA PHU WARD, THU DAU MOT CITY, BINH DUONG",11.059858744012,106.683606853279,700000,서비스법인,단독투자,신한은행,K. 금융 및 보험업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,레인보우 코스메틱,"RAINBOW COSMETIC CO., LTD.","41 HUNG GIA 3 (R7) ST., TAN PHONG WARD, DIST. 7, HCMC, VIETNAM",10.8125186100741,106.732432537934,700000,판매법인,단독투자,레인보우코스메틱,G. 도매 및 소매업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,베스트 에이치알 솔루션,BEST HR SOLUTION,"102ABC CONG QUYNH, PHUONG PHAM NGU LAO, QUAN 1, HO CHI MINH, VIETNAM",10.7650629897721,106.690544309098,700000,서비스법인,단독투자,,"S. 협회 및 단체, 수리 및 기타 개인 서비스업",,,,,,,,,,,,,
동남아대양주,베트남,호치민,화인케이블비나,"FINE CABLE VINA CO., LTD.","ĐƯỜNG SỐ 2, KHU CÔNG NGHIỆP NHƠN TRẠCH 1, XÃ PHƯỚC THIỀN, HUYỆN NHƠN TRẠCH, TỈNH ĐỒNG NAI, VIỆT NAM",10.7430935496573,106.925795000014,700000,생산법인,단독투자,화인케이블,C. 제조업,기타 제품 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,케이워터베트남,"K-WATER VIETNAM CO., LTD.","CHUNG CƯ CANTAVIL AN PHÚ, BLOCK A2, ĐƯỜNG SỐ 25, P. AN PHÚ, Q. 2, TPHCM TẦNG TRỆT CHUNG CƯ CANTAVIL AN PHÚ, BLOCK A2, ĐƯỜNG SỐ 25, P. AN PHÚ, Q. 2, TPHCM",10.8008475423644,106.747387468618,700000,판매법인,단독투자,,G. 도매 및 소매업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,GS 글로벌 호치민사무소,GS GLOBAL HCMC OFFICE,"7TH FL., AB TOWER, 76 LE LAI ST., BEN THANH WARD, DIST. 1, HCMC, VIETNAM",10.7707594460956,106.694380695605,700000,서비스법인,단독투자,GS글로벌,G. 도매 및 소매업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,호아빈짜빈지사,"HOA BINH CO., LTD. TRA VINH BRANCH","THUONG HAMLET, DAI PHUOC COMMUNE, CANG LONG DIST., TRA VINH, VIETNAM",10.0165523835797,106.293485865035,700000,생산법인,단독투자,,"A. 농업, 임업 및 어업",,,,,,,,,,,,,
동남아대양주,베트남,호치민,다이하이옌,"DAI HAI YEN CO., LTD.","LAND LOT NO.475, MAP SHEET NO.08, PHUOC HAI QUARTER, THAI HOA WARD, TAN UYEN TOWN, BINH DUONG, VIETNAM",9.93256647289175,106.341004220497,700000,생산법인,단독투자,,C. 제조업,기타 기계 및 장비 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,시앤투스이지스비나,"CNTUS AEGIS VINA CO., LTD.","N0 4 & 6, TIEN PHONG 7 ST, MAPLETREE BUSINESS CITY, HOA PHU WARD, THU DAU MOT CITY, BINH DUONG PROVINCE, VIETNAM",11.1421622946042,106.700298980266,700000,생산법인,단독투자,주식회사 씨앤투스성진,C. 제조업,기타 제품 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,세정쉬핑,SEJUNG SHIPPING (REP. OFFICE),"6TH FL., 39-41 LE THACH ST., WARD 12, DIST. 4, HCMC, VIETNAM",10.7640555502383,106.706293537934,700000,연락사무소,단독투자,세중해운(주),H. 운수 및 창고업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,무브맥스 시스템 베트남 지사,MOVEMAX SYSTEM VIETNAM,"TẦNG 4, SỐ 5 CỬU LONG, PHƯỜNG 2, QUẬN TÂN BÌNH, THÀNH PHỐ HỒ CHÍ MINH, VIỆT NAM",10.8096333971024,106.665057251427,700000,서비스법인,단독투자,무브맥스시스템,H. 운수 및 창고업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,오씨아이 베트남 주식회사,"OCI VIETNAM CO., LTD.","KM24 ROAD DT 743, BINH THANG WARD, DI AN CITY, BINH DUONG",10.8993884834393,106.814317795606,700000,생산법인,단독투자,OCI(주),C. 제조업,화학 물질 및 화학제품 제조업 (의약품 제외),,,,,,,,,,,,
동남아대양주,베트남,호치민,경진비나,"KYUNGJIN VINA CO., LTD.","956 NATIONAL ROAD 22, BAU TRE 2 HAMLET, TAN AN HOI COMMUNE, CU CHI DIST., HCMC, VIETNAM",10.9737114056909,106.478848395607,700000,생산법인,단독투자,,C. 제조업,"가죽, 가방 및 신발 제조업",,,,,,,,,,,,
동남아대양주,베트남,호치민,(주)팬코비나,PANKO VINA CORPORATION,"LOT I-1, 2, 3, 4-CN, N6, MY PHUOC 1 IP, MY PHUOC WARD, BEN CAT TOWN, BINH DUONG, VIETNAM",11.1148343133956,106.600987709102,700000,생산법인,단독투자,팬코,C. 제조업,"가죽, 가방 및 신발 제조업",,,,,,,,,,,,
동남아대양주,베트남,호치민,빅코,"VICKO CO., LTD.","SỐ 49, ĐƯỜNG SỐ 14, KDC HIM LAM, PHƯỜNG TÂN HƯNG, QUẬN 7, THÀNH PHỐ HỒ CHÍ MINH, VIỆT NAM",10.7406114705647,106.697206510947,700000,서비스법인,단독투자,,"R. 예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,
동남아대양주,베트남,호치민,머니트리 베트남,"MONEYTREE VIETNAM CO., LTD.","15TH FL., TNR TOWER, 180-192 NGUYEN CONG TRU ST., NGUYEN THAI BINH WARD, DIST. 1, HCMC",10.7687766282301,106.701076066769,700000,서비스법인,.,,J. 정보통신업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,대한 울트라베이션,"DAEHAN ULTRAVISION VN CO., LTD.","NO. 36, HUNG PHUOC 3 INNER STREET, PHU MY HUNG, TAN PHONG WARD, DISTRICT 7, VIETNAM",10.8001914428714,106.718434249578,700000,판매법인,단독투자,(주)대한전광,G. 도매 및 소매업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,이정 회계법인,"E-JUNG AUDITING CO., LTD.","ROOM 602, CENTEC TOWER BLD., 72-74 NGUYEN THI MINH KHAI ST., DIST. 3, HCMC",10.7829429985755,106.69753908396,700000,서비스법인,단독투자,이정회계법인,"M. 전문, 과학 및 기술 서비스업",,,,,,,,,,,,,
동남아대양주,베트남,호치민,정림건축 베트남,"JUNGLIM ARCHITECTURE VIETNAM CO., LTD.","4TH FL., ROBOT TOWER, 308~308C DIEN BIEN PHU ST., DIST. 3, HCMC, VIETNAM",10.7764191008581,106.682856139783,700000,서비스법인,단독투자,정림건축종합건축사사무소,F. 건설업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,사오 후이 건설,"SAO HUY CONSTRUCTION CO., LTD.","RM#D1, 14TH FL., 15 NGUYEN LUONG BANG ST., TAN PHU WARD, DIST. 7, HCMC, VIETNAM",10.7342419881576,106.657574097453,700000,서비스법인,단독투자,,F. 건설업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,케이에스에이 폴리머 호치민(주),"KSA POLYMER HCMC CO., LTD.","LÔ 10-12, ĐƯỜNG SỐ 5, KHU CÔNG NGHIỆP TÂN ĐỨC, XÃ ĐỨC HÒA HẠ, HUYỆN ĐỨC HOÀ, TỈNH LONG AN, VIỆT NAM",10.7949596960763,106.470232295605,700000,생산법인,단독투자,,C. 제조업,섬유제품 제조업 (의복 제외),,,,,,,,,,,,
동남아대양주,베트남,호치민,트릭 아트 박물관,"TRICK ART MUSEUM ARTINUS CO., LTD.","2-4 ROAD 9, HIM LAM QUARTER, TAN HUNG WARD, DIST. 7, HCMC, VIETNAM",10.743272723583,106.694737482111,700000,서비스법인,.,,"R. 예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,
동남아대양주,베트남,호치민,씨티 포커스 라이팅,"CITY FOCUS LIGHTING CO., LTD.","TON DUC THANG ST., NHON TRACH 2 IP, PHU HOI COMMUNE, NHON TRACH DIST., DONG NAI",10.7289202652268,106.905229868277,700000,생산법인,단독투자,,G. 도매 및 소매업,,,,,,,,,,,,,
