,Title,Link,Content(RAW)
0,"[FOTO] Groundbreaking Kodim IKN, Presiden: Harus Jadi …",https://www.presidenri.go.id/foto/groundbreaking-kodim-ikn-presiden-harus-jadi-contoh-kodim-di-seluruh-tanah-air/,"Presiden Joko Widodo mengapresiasi dimulainya pembangunan Komando Distrik Militer (Kodim) di Kawasan Ibu Kota Nusantara (IKN), Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur, pada Kamis, 21 Desember 2023. Presiden menyampaikan pesan bahwa desain Kodim yang dibangun di atas lahan seluas 3,29 hektare dengan segala sarana dan prasarana pendukungnya harus disesuaikan dengan visi IKN sebagai forest city.

“Kodim IKN ini harus didesain visi ke depan, modern dan juga green building sehingga nantinya kodim-kodim yang lain di seluruh Tanah Air bisa melihat bangunan Kodim yang ada di IKN ini sebagai contoh, sebagai patokan,” ujar Presiden dalam sambutannya saat acara peletakan batu pertama (groundbreaking) Kodim IKN."
1,"Pagi di IKN, Presiden Tinjau Progres Pembangunan Istana dan …",https://www.presidenri.go.id/siaran-pers/pagi-di-ikn-presiden-tinjau-progres-pembangunan-istana-dan-kantor-presiden/,"Presiden Jokowi memastikan fasilitas hingga desain bangunan Kantor Presiden dan Istana Kepresidenan sesuai dengan konsep, salah satunya adalah bilah Garuda yang menjadi ikon Istana Kepresidenan di IKN.

Presiden Joko Widodo melanjutkan kunjungan kerja hari keduanya di Ibu Kota Nusantara (IKN), Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur, pada Kamis, 21 Desember 2023. Mengawali pagi, Presiden Jokowi bersama rombongan terbatas mengunjungi lokasi pembangunan Kantor Presiden.

Dari atas Kantor Presiden, Kepala Negara didampingi Menteri Sekretaris Negara Pratikno, Kepala Otorita IKN Bambang Susantono, dan Kurator Pembangunan IKN Ridwan Kamil, meninjau perkembangan pembangunan kompleks Istana Kepresidenan.

Presiden Jokowi memastikan fasilitas hingga desain bangunan Kantor Presiden dan Istana Kepresidenan sesuai dengan konsep, salah satunya adalah bilah Garuda yang menjadi ikon Istana Kepresidenan di IKN.

Dari lokasi pembangunan Kantor Presiden, Kepala Negara melanjutkan rangkaian kegiatannya yakni untuk melaksanakan sejumlah groundbreaking dimulai dari fasilitas keamanan hingga pendidikan. Pertama, Presiden akan melaksanakan groundbreaking BSH Community Hub serta The Pakubuwono Nusantara.

Kemudian, Kepala Negara akan melakukan groundbreaking dua infrastruktur pertahanan dan keamanan, antara lain Komando Distrik Militer (Kodim) Ibu Kota Nusantara A dan Kepolisian Negara Republik Indonesia Resor (Polres) Khusus Kawasan Ibu Kota Nusantara.

Selain itu, Presiden Jokowi akan meluncurkan transportasi ramah lingkungan di IKN. Setelahnya, Presiden diagendakan untuk melaksanakan groundbreaking fasilitas pendidikan yakni Gedung II Kampus Nusantara PSDKU Universitas Gunadarma.

Pada siang hari, Presiden dijadwalkan untuk mengunjungi pasar di Kabupaten Penajam Paser Utara untuk mengecek kondisi harga di sana. Setelahnya, Presiden bersama rombongan akan melanjutkan perjalanan kembali menuju Jakarta."
2,[FOTO] Presiden Jokowi Tekankan Pentingnya Pengembangan …,https://www.presidenri.go.id/foto/presiden-jokowi-tekankan-pentingnya-pengembangan-program-pendidikan-di-ikn/,"Presiden Joko Widodo meresmikan peletakan batu pertama atau groundbreaking Gedung II Kampus Nusantara Program Studi di Luar Kampus Utama (PSDKU) Universitas Gunadarma pada Kamis, 21 Desember 2023. Dalam sambutannya, Presiden Jokowi menekankan pentingnya pengembangan program pendidikan tinggi di kawasan Ibu Kota Nusantara (IKN) untuk mendorong peningkatan kualitas sumber daya manusia (SDM) Indonesia.

“Dan bukan hanya di IKN, tetapi juga di kota-kota lainnya di Tanah Air Indonesia,” ucap Presiden di Kawasan IKN, Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur."
3,[FOTO] Presiden Jokowi Luncurkan Ragam Transportasi Darat …,https://www.presidenri.go.id/foto/presiden-jokowi-luncurkan-ragam-transportasi-darat-ramah-lingkungan-di-ikn/,"Presiden Joko Widodo secara resmi meluncurkan transportasi ramah lingkungan di Kawasan Ibu Kota Nusantara (IKN), Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur pada Kamis, 21 Desember 2023. Presiden menilai peluncuran transportasi tersebut akan mempercepat pengembangan sistem transportasi publik berbasis listrik di IKN.

“Memang konsepnya sejak awal Ibu Kota Nusantara adalah kawasan hijau, lingkungan hijau, gedungnya hijau, transportasinya hijau, listriknya hijau, energi hijau semuanya harus hijau,” ujar Presiden.

Dalam sambutannya, Presiden Jokowi pun menyampaikan apresiasi atas komitmen Bluebird Group dalam mendukung inisiatif transportasi ramah lingkungan di IKN. Menurut Presiden, inisiatif ini merupakan satu langkah maju untuk menciptakan masa depan mobilitas yang berkelanjutan.

“Dan menciptakan lingkungan yang lebih bersih dan sehat,” lanjutnya."
4,Presiden Jokowi Tekankan Pentingnya Pengembangan Program …,https://www.presidenri.go.id/siaran-pers/presiden-jokowi-tekankan-pentingnya-pengembangan-program-pendidikan-di-ikn/,"Menurutnya, salah satu hal yang bisa dilakukan yaitu dengan terus memberikan motivasi kepada anak-anak muda untuk menempuh pendidikan dan mempelajari keterampilan baru.

Presiden Joko Widodo meresmikan peletakan batu pertama atau groundbreaking Gedung II Kampus Nusantara Program Studi di Luar Kampus Utama (PSDKU) Universitas Gunadarma pada Kamis, 21 Desember 2023. Dalam sambutannya, Presiden Jokowi menekankan pentingnya pengembangan program pendidikan tinggi di kawasan Ibu Kota Nusantara (IKN) untuk mendorong peningkatan kualitas sumber daya manusia (SDM) Indonesia.

“Dan bukan hanya di IKN, tetapi juga di kota-kota lainnya di Tanah Air Indonesia,” ucap Presiden di Kawasan IKN, Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur.

Oleh karenanya, Kepala Negara mengingatkan kepada pemerintah daerah untuk turut berkontribusi pada pengembangan SDM Indonesia. Menurutnya, salah satu hal yang bisa dilakukan yaitu dengan terus memberikan motivasi kepada anak-anak muda untuk menempuh pendidikan dan mempelajari keterampilan baru.

“Saya ingin berpesan kepada pemerintah daerah agar terus memotivasi anak-anak mudanya untuk menempuh pendidikan, mempelajari keterampilan-keterampilan baru yang sangat dibutuhkan nantinya apabila IKN sudah sangat berkembang,” imbuhnya.

Pada kesempatan tersebut, Presiden turut mengapresiasi langkah Universitas Gunadarma membangun Gedung II Kampus Nusantara yang dibangun di wilayah penyangga IKN. Presiden pun menyambut baik pembangunan gedung yang nantinya akan difungsikan sebagai sarana pembelajaran bagi mahasiswa.

“Saya menyambut gembira peletakan batu pertama pembangunan gedung II Kampus Nusantara PSDKU Universitas Gunadarma di Penajam Paser Utara daerah penyangga Ibu Kota Nusantara,” tuturnya.

Selain itu, Kepala Negara juga menilai bahwa Universitas Gunadarma merupakan salah satu universitas besar di Indonesia dengan jumlah mahasiswa yang sangat banyak dan akan terus bertambah di Kampus Nusantara.

“Dan yang disini Ibu Rektor tadi menyampaikan memang semester pertama ini baru 200, tetapi tahun depan diperkirakan sudah 700 mahasiswa,” kata Presiden.

Turut mendampingi Presiden dalam kegiatan tersebut yakni Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan Muhadjir Effendy, Menteri Sekretaris Negara Pratikno, Pj. Gubernur Kalimantan Timur Akmal Malik, Pj Bupati Penajam Paser Utara Makmur Marbun, dan Rektor Universitas Gunadarma Margianti."
5,"Groundbreaking Kodim IKN, Presiden: Harus Jadi Contoh Kodim …",https://www.presidenri.go.id/siaran-pers/groundbreaking-kodim-ikn-presiden-harus-jadi-contoh-kodim-di-seluruh-tanah-air/,"Selain itu, Presiden juga berpesan agar pohon-pohon yang ada di sekitar pembangunan kawasan Kodim tidak terlalu banyak ditebang. Hal tersebut mengingat kawasan IKN merupakan kawasan dan lingkungan hijau yang memiliki pohon dengan kualitas baik.

Presiden Joko Widodo mengapresiasi dimulainya pembangunan Komando Distrik Militer (Kodim) di Kawasan Ibu Kota Nusantara (IKN), Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur, pada Kamis, 21 Desember 2023. Presiden menyampaikan pesan bahwa desain Kodim yang dibangun di atas lahan seluas 3,29 hektare dengan segala sarana dan prasarana pendukungnya harus disesuaikan dengan visi IKN sebagai forest city.

“Kodim IKN ini harus didesain visi ke depan, modern dan juga green building sehingga nantinya kodim-kodim yang lain di seluruh Tanah Air bisa melihat bangunan Kodim yang ada di IKN ini sebagai contoh, sebagai patokan,” ujar Presiden dalam sambutannya saat acara peletakan batu pertama (groundbreaking) Kodim IKN.

Selain itu, Presiden juga berpesan agar pohon-pohon yang ada di sekitar pembangunan kawasan Kodim tidak terlalu banyak ditebang. Hal tersebut mengingat kawasan IKN merupakan kawasan dan lingkungan hijau yang memiliki pohon dengan kualitas baik.

“Kalau bisa menghindari, hindari (penebangan) sehingga saya harapkan betul-betul ini nanti Kodim yang bisa dijadikan contoh bagi kantor-kantor Kodim di seluruh Tanah Air,” ungkap Presiden.

Presiden Jokowi menilai IKN sebagai ibu kota negara dan pusat pemerintahan merupakan proyek vital nasional strategis yang harus dipastikan keamanannya. Oleh karena itu, Presiden berharap dengan keberadaan Kodim IKN yang merupakan Kodim tipe A tersebut dapat membantu pemerintah dalam melaksanakan tugas-tugas pengamanan ibu kota negara, mendukung, serta melindungi IKN dari berbagai bentuk ancaman dan gangguan yang mengancam keutuhan bangsa dan negara Indonesia.

“Saya berharap keberadaan Kodim IKN ini akan membantu pemerintah dalam penyelenggaraan pembinaan ketahanan wilayah dan menjaga IKN serta menegakkan kedaulatan negara,” tutur Presiden.

Turut mendampingi Presiden dalam kegiatan tersebut yakni Menteri Sekretaris Negara Pratikno, Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional Hadi Tjahjanto, Panglima TNI Jenderal Agus Subiyanto, Kapolri Jenderal Pol. Listyo Sigit Prabowo, Pj. Gubernur Kalimantan Timur Akmal Malik, Kepala Otorita IKN Bambang Susantono, dan Kurator Pembangunan IKN Ridwan Kamil."
6,Presiden Jokowi Apresiasi Pembangunan Hotel Bintang Tiga dan …,https://www.presidenri.go.id/siaran-pers/presiden-jokowi-apresiasi-pembangunan-hotel-bintang-tiga-dan-restoran-pertama-di-ikn/,"Oleh karenanya, Presiden berharap agar pembangunan hotel dan restoran tersebut mampu diselesaikan pada bulan Juli 2024.

Presiden Joko Widodo mengapresiasi pembangunan BSH Community Hub di Ibu Kota Nusantara (IKN). Presiden menyebut pembangunan hotel bintang tiga dan restoran yang akan ada di dalam BSH Community Hub tersebut dinilai menambah fasilitas baru di IKN.

Hal tersebut disampaikan oleh Presiden dalam sambutannya saat melakukan groundbreaking atau peletakkan batu pertama BSH Community Hub, di Kawasan IKN, Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur, pada Kamis, 21 Desember 2023.

“Saya sangat menghargai pembangunan hotel bintang tiga oleh BSH dan juga restoran karena memang hotel yang bintang tiga belum ada, kemudian restoran juga belum ada,” ucap Presiden.

Melihat hal tersebut, Presiden Jokowi menilai bahwa PT Karya BSH Mandiri mampu melihat peluang yang dapat diambil untuk berinvestasi di IKN. Oleh karenanya, Presiden berharap agar pembangunan hotel dan restoran tersebut mampu diselesaikan pada bulan Juli 2024.

“Saya berharap betul-betul tadi yang disampaikan Pak Hariyadi bahwa sebelum bulan Juli, hotel dan restorannya sudah jadi dan selesai bisa kita nikmati bersama-sama, saya sangat menghargai pekerjaan yang super cepat itu,” imbuhnya.

Lebih lanjut, Kepala Negara juga berharap nantinya BSH Hub Community dapat menjadi sebuah ruang berkumpul yang melengkapi fasilitas di Nusantara. “Saya harap BSH Hub Community ini akan menjadi tempat berkumpul, tempat pertemuan yang lengkap yang membuat fasilitas yang ada di IKN ini semakin lengkap bagi kita semuanya,” ungkapnya.

Di samping itu, dalam kesempatan yang sama, Presiden Jokowi pun menekankan bahwa pemerintah akan membebaskan sejumlah pajak seperti PPN dan PPH bagi Usaga Kecil Menengah (UKM) yang ingin berinvestasi di Nusantara.

“Untuk memberikan trigger ekonomi pada UKM-UKM yang ingin melakukan investasi di IKN,” tandasnya.

Turut mendampingi Presiden dalam kegiatan tersebut yakni Menteri Sekretaris Negara Pratikno, Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional Hadi Tjahjanto, Panglima TNI Jenderal Agus Subiyanto, Kapolri Jenderal Pol. Listyo Sigit Prabowo, Pj. Gubernur Kalimantan Timur Akmal Malik, Kepala Otorita IKN Bambang Susantono, dan Kurator Pembangunan IKN Ridwan Kamil."
7,"Kunjungi Pasar Waru, Presiden Cek Harga Kebutuhan Pokok",https://www.presidenri.go.id/siaran-pers/kunjungi-pasar-waru-presiden-cek-harga-kebutuhan-pokok/,"Terkait persediaan beras nasional, Presiden menyebut bahwa pemerintah akan terus berkomitmen untuk meningkatkan stok beras di Bulog.

Usai melaksanakan sejumlah groundbreaking proyek pembangunan infrastruktur di Ibu Kota Nusantara (IKN), Presiden Joko Widodo mengunjungi Pasar Waru, Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur, pada Kamis, 21 Desember 2023. Kunjungannya ke pasar tersebut adalah untuk mengecek sejumlah harga kebutuhan pokok.

“Saya lihat sangat baik, cabai rawit yang sebelumnya Rp120 (ribu) sampai Rp100 (ribu), hari ini saya cek tadi sudah Rp80 (ribu), bagus,” jelas Presiden dalam keterangannya usai peninjauan.

Selain harga cabai, Kepala Negara juga menyebut bahwa harga bawang merah di pasar tersebut tergolong bagus. “Bawang merah juga di harga Rp30 (ribu)-Rp35 (ribu) juga bagus, ini baik,” ungkapnya.

Terkait persediaan beras nasional, Presiden menyebut bahwa pemerintah akan terus berkomitmen untuk meningkatkan stok beras di Bulog. “Agar cadangan strategis beras kita betul-betul ada di posisi yang aman,” imbuhnya.

Dalam kunjungannya ke Pasar Waru, tampak Presiden turut menyapa pedagang seraya membagikan sejumlah bantuan berupa sembako. Presiden pun terlihat membeli barang yang dijual oleh salah satu pedagang di sana.

Warni, seorang pedagang tahu, tidak menyangka bahwa tahu yang dijualnya pada hari itu dibeli oleh Presiden Jokowi.

“Jual apa?” tanya Presiden.

“Tahu pak,” jawab Warni.

Presiden pun kemudian membeli lima bungkus tahu yang dijual oleh Warni dan memberikan dua lembar uang dengan nominal Rp100 ribu. Melihat hal tersebut, Warni pun terkejut dan berterima kasih kepada Presiden.

“Tadi beli tahu Bapak, harganya tadi Rp10 ribu, dikasih uangnya Rp200 ribu, beli lima dia,” jelas Warni dalam keterangannya.

“Terima kasih banyak alhamdulillah kepada Pak Jokowi,” tandasnya.

Turut mendampingi Presiden yaitu Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan Muhadjir Effendy, Menteri Sekretaris Negara Pratikno, Panglima TNI Jenderal Agus Subiyanto, Kapolri Jenderal Pol. Listyo Sigit Prabowo, Pj. Gubernur Kalimantan Timur Akmal Malik, Pj. Bupati Penajam Paser Utara Makmur Marbun, Kepala Otorita IKN Bambang Susantono, dan Kurator Pembangunan IKN Ridwan Kamil."
9,[FOTO] Presiden Jokowi Letakkan Batu Pertama Pembangunan …,https://www.presidenri.go.id/foto/presiden-jokowi-letakkan-batu-pertama-pembangunan-apartemen-berkonsep-hijau-di-ikn/,"Presiden Joko Widodo melakukan peletakan batu pertama atau groundbreaking apartemen The Pakubuwono Nusantara di Ibu Kota Nusantara (IKN), Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur pada Kamis, 21 Desember 2023. Dalam sambutannya, Presiden Jokowi menyambut baik pembangunan apartemen yang dinilai memiliki konsep hijau yang selaras dengan konsep IKN.

“IKN ini dibangun dengan konsep kawasan yang hijau, lingkungan yang hijau, dan gedungnya harus gedung yang hijau–green building–dan kalau saya lihat tadi secara sepintas rencana untuk membangun The Pakubowono Nusantara ini betul-betul sangat sesuai dengan konsep Ibu Kota Nusantara,” ujar Presiden."
10,Presiden Jokowi Luncurkan Ragam Transportasi Darat Ramah …,https://www.presidenri.go.id/siaran-pers/presiden-jokowi-luncurkan-ragam-transportasi-darat-ramah-lingkungan-di-ikn/,"Peluncuran transportasi ramah lingkungan oleh Bluebird Group ini memiliki nilai investasi sebesar Rp250 miliar yang akan digunakan dalam pengembangan sistem transportasi ramah lingkungan.

Presiden Joko Widodo secara resmi meluncurkan transportasi ramah lingkungan di Kawasan Ibu Kota Nusantara (IKN), Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur pada Kamis, 21 Desember 2023. Presiden menilai peluncuran transportasi tersebut akan mempercepat pengembangan sistem transportasi publik berbasis listrik di IKN.

“Memang konsepnya sejak awal Ibu Kota Nusantara adalah kawasan hijau, lingkungan hijau, gedungnya hijau, transportasinya hijau, listriknya hijau, energi hijau semuanya harus hijau,” ujar Presiden.

Dalam sambutannya, Presiden Jokowi pun menyampaikan apresiasi atas komitmen Bluebird Group dalam mendukung inisiatif transportasi ramah lingkungan di IKN. Menurut Presiden, inisiatif ini merupakan satu langkah maju untuk menciptakan masa depan mobilitas yang berkelanjutan.

“Dan menciptakan lingkungan yang lebih bersih dan sehat,” lanjutnya.

Peluncuran transportasi ramah lingkungan oleh Bluebird Group ini memiliki nilai investasi sebesar Rp250 miliar yang akan digunakan dalam pengembangan sistem transportasi ramah lingkungan. Kepala Negara menyebut, beragam moda transportasi darat telah dipersiapkan guna mendukung transportasi hijau di IKN.

“Pengadaan bus rapid transit listrik untuk mendukung layanan perkotaan taksi listrik, mobil rental listrik, serta bus jurusan dari Balikpapan ke IKN,” katanya.

Tidak hanya moda tranportasi, Presiden Jokowi mengatakan bahwa kelengkapan sarana pendukung lainnya yang akan dikelola secara terintegrasi juga akan segera disiapkan. “Bluebird Group juga akan melengkapi sarana pendukung yang dikelola secara terintegrasi dengan menggunakan teknologi pintar seperti penyediaan halte, park and ride, transfer point depo, dan charging point,” tambahnya.

Turut mendampingi Presiden dalam kegiatan tersebut yakni Menteri Sekretaris Negara Pratikno, Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional Hadi Tjahjanto, Kepala Otorita IKN Bambang Susantono, Pj. Gubernur Kalimantan Timur Akmal Malik, dan Direktur Utama PT Bluebird Tbk Adrianto Djokosoetono."
