,Error Link,Error
0,https://www.army.mil/news,Article `download()` failed with Invalid URL '/article/272112/black_hawk_pilot_eyes_unique_trade_after_flying_career': No scheme supplied. Perhaps you meant https:///article/272112/black_hawk_pilot_eyes_unique_trade_after_flying_career? on URL /article/272112/black_hawk_pilot_eyes_unique_trade_after_flying_career
1,https://www.doi.gov/news,Date Blocks
