,Unnamed: 0.1,Unnamed: 0,Error Link,Error
0,0.0,0.0,https://www.navy.mil/Press-Office/,None Contents
1,1.0,1.0,https://www.doi.gov/news,Date Blocks
2,2.0,2.0,https://fas.usda.gov/newsroom/export-sales-unknown-destinations-56,"Article `download()` failed with HTTPSConnectionPool(host='fas.usda.gov', port=443): Read timed out. (read timeout=7) on URL https://fas.usda.gov/newsroom/export-sales-unknown-destinations-56"
3,3.0,3.0,https://www.twc.texas.gov/news,Entire Error
4,,,https://www.ajc.com/news/,None Title
5,,,https://www.ajc.com/news/,None Title
6,,,https://www.ajc.com/news/,None Title
7,,,https://www.ajc.com/news/,None Title
8,,,https://www.ajc.com/news/,None Title
9,,,https://www.ajc.com/news/,None Title
10,,,https://www.ajc.com/news/,None Title
11,,,https://www.ajc.com/news/,None Title
12,,,https://www.ajc.com/news/,None Title
13,,,https://www.ajc.com/news/,None Title
14,,,https://www.ajc.com/life/opinion-with-hairstyles-live-and-let-live/WL7K4PP3OREQFFZ5ZG46USYSYA/,"Article `download()` failed with HTTPSConnectionPool(host='www.ajc.com', port=443): Read timed out. (read timeout=7) on URL https://www.ajc.com/life/opinion-with-hairstyles-live-and-let-live/WL7K4PP3OREQFFZ5ZG46USYSYA/"
15,,,https://www.ajc.com/news/,None Title
16,,,https://www.ajc.com/news/,None Title
17,,,https://www.ajc.com/news/,None Title
18,,,https://www.ajc.com/news/,None Title
19,,,https://www.ajc.com/news/,None Title
20,,,https://www.ajc.com/news/,None Title
21,,,https://www.ajc.com/news/,None Title
22,,,https://www.ajc.com/news/,None Title/None Title
23,,,https://www.ajc.com/news/,None Title/None Title/None Title
24,,,https://www.ajc.com/news/,None Title/None Title/None Title
25,,,https://www.ajc.com/news/,None Title/None Title/None Title
26,,,https://www.ajc.com/news/,None Title/None Title/None Title
27,,,https://www.ajc.com/news/,None Title/None Title/None Title
28,,,https://www.ajc.com/news/,None Title/None Title/None Title
29,,,https://www.ajc.com/news/,None Title/None Title/None Title
30,,,https://www.ajc.com/news/,None Title/None Title/None Title
31,,,https://www.ajc.com/news/,None Title/None Title/None Title
32,,,https://www.ajc.com/news/,None Title/None Title/None Title
33,,,https://www.ajc.com/news/,None Title/None Title/None Title
34,,,https://www.ajc.com/news/,None Title/None Title/None Title
35,,,https://www.ajc.com/news/,None Title/None Title/None Title
36,,,https://www.ajc.com/news/,None Title/None Title/None Title
37,,,https://www.ajc.com/news/,None Title/None Title/None Title
38,,,https://www.ajc.com/news/,None Title/None Title/None Title
39,,,https://www.ajc.com/news/,None Title/None Title/None Title
40,,,https://www.ajc.com/news/,None Title/None Title/None Title
41,,,https://www.ajc.com/news/,None Title/None Title/None Title
42,,,https://www.ajc.com/news/,None Title/None Title/None Title
43,,,https://www.ajc.com/news/,None Title/None Title/None Title
44,,,https://www.ajc.com/news/,None Title/None Title/None Title
45,,,https://www.latimes.com/california,None Title
46,,,https://www.latimes.com/california,None Title
47,,,https://www.latimes.com/california,None Title
48,,,https://www.latimes.com/california,None Title
49,,,https://www.latimes.com/california,None Title
50,,,https://www.latimes.com/california,None Title
51,,,https://www.latimes.com/california,None Title
52,,,https://www.latimes.com/california,None Title
53,,,https://www.latimes.com/california,None Title
54,,,https://www.latimes.com/california,None Title
55,,,https://www.latimes.com/california,None Title
56,,,https://www.latimes.com/california,None Title
57,,,https://www.latimes.com/california,None Title
58,,,https://www.latimes.com/california,None Title
59,,,https://www.dallasnews.com/news/,name 'ElementClickInterceptedException' is not defined
60,,,https://nypost.com/2023/12/13/news/robot-dog-sets-guinness-record-with-sub-20-second-100m-run/,None Title
61,,,https://nypost.com/2023/12/13/news/detransitioner-suing-american-academy-of-pediatrics/,None Title
62,,,https://nypost.com/2023/12/13/news/elderly-uk-man-used-scooter-to-run-down-man-over-pastry-video-shows/,None Title
63,,,https://nypost.com/2023/12/13/news/elderly-uk-man-used-scooter-to-run-down-man-over-pastry-video-shows/,None Title
64,,,https://nypost.com/2023/12/13/news/house-approves-impeachment-inquiry-into-biden-after-hunter-cameo/,None Title
65,,,https://nypost.com/2023/12/13/news/billboard-truck-targets-gwu-faculty-panel-that-excused-hamas-terrorism/,None Title
66,,,https://nypost.com/2023/12/13/news/person-of-interest-charged-with-murder-in-death-of-detroit-synagogue-leader-samantha-woll/,None Title
67,,,https://nypost.com/2023/12/13/news/mit-blasted-for-failure-to-act-on-antisemitism/,None Title
68,,,https://nypost.com/2023/12/13/news/zelensky-told-speaker-johnson-ukraine-aid-wont-run-out-until-february-contradicting-white-house/,None Title
69,,,https://nypost.com/2023/12/13/news/student-hospitalized-after-attack-at-marjory-stoneman-douglas-high-school/,None Title
70,,,https://nypost.com/2023/12/13/news/tou-ger-xiong-attended-karol-g-concert-days-before-murder-in-colombia/,None Title
71,,,https://nypost.com/2023/12/13/news/ex-iowa-deputy-reaches-plea-deal-in-death-of-k-9-partner-left-in-scorching-hot-police-truck-for-22-hours/,None Title
72,,,https://nypost.com/2023/12/13/news/trump-legal-defense-fund-spent-thousands-on-mar-a-lago-docs-show/,None Title
73,,,https://nypost.com/author/johnny-oleksinski/,None Title
74,,,https://nypost.com/2023/12/13/news/boston-mayor-under-fire-for-secret-no-whites-christmas-party/,None Title
75,,,https://nypost.com/2023/12/13/news/upenns-anne-norton-losing-professorship-over-anti-israel-posts/,None Title
76,,,https://nypost.com/2023/12/13/news/grandma-of-ga-teen-who-was-shot-multiple-times-says-she-knew-something-was-wrong-night-before-killing/,None Title
77,,,https://nypost.com/2023/12/13/tech/qr-code-scams-are-on-the-rise-ftc-warns-heres-how-to-protect-yourself/,None Title
78,,,https://nypost.com/2023/12/13/lifestyle/menorah-from-famous-1931-photo-made-a-hanukkah-trip-to-israel/,None Title
79,,,https://nypost.com/2023/12/13/news/california-man-shot-black-bear-that-repeatedly-bit-him-and-had-standoff-with-his-dog/,None Title
80,,,https://nypost.com/2023/12/13/news/southwest-airlines-is-praised-for-customers-of-size-policy/,None Title/None Title
81,,,https://nypost.com/2023/12/13/entertainment/bachelor-star-marjorie-griffiths-charged-with-supplying-drugs-and-laundering-money/,None Title/None Title
82,,,https://nypost.com/2023/12/13/news/ny-republicans-pitch-resolution-condemning-clean-slate-act/,None Title/None Title
83,,,https://nypost.com/2023/12/13/news/elderly-uk-man-used-scooter-to-run-down-man-over-pastry-video-shows/,None Title/None Title
84,,,https://nypost.com/2023/12/13/news/house-approves-impeachment-inquiry-into-biden-after-hunter-cameo/,None Title/None Title
85,,,https://nypost.com/2023/12/13/news/billboard-truck-targets-gwu-faculty-panel-that-excused-hamas-terrorism/,None Title/None Title
86,,,https://nypost.com/2023/12/13/news/person-of-interest-charged-with-murder-in-death-of-detroit-synagogue-leader-samantha-woll/,None Title/None Title
87,,,https://nypost.com/2023/12/13/news/mit-blasted-for-failure-to-act-on-antisemitism/,None Title/None Title
