,Error Link,Error
0,https://www.army.mil/news,Article `download()` failed with Invalid URL '/article/272275/ufc_president_thrills_fans_during_meet_greet_at_fort_cavazos': No scheme supplied. Perhaps you meant https:///article/272275/ufc_president_thrills_fans_during_meet_greet_at_fort_cavazos? on URL /article/272275/ufc_president_thrills_fans_during_meet_greet_at_fort_cavazos
1,https://www.doi.gov/news,Date Blocks
2,https://www.dol.gov/newsroom/releases?agency=All&state=All&topic=All&year=all&page=0,None Title/None Content
3,https://gov.georgia.gov/press-releases,None Title/None Contents
4,https://gov.georgia.gov/press-releases,None Title/None Contents/None Title/None Contents
